"","date","totalevents"
"1",2016-11-01,18061
"2",2016-11-02,19554
"3",2016-11-03,18117
"4",2016-11-04,19822
"5",2016-11-05,9936
"6",2016-11-06,8354
"7",2016-11-07,24745
"8",2016-11-08,17345
"9",2016-11-09,18540
"10",2016-11-10,15958
"11",2016-11-11,13163
"12",2016-11-12,6662
"13",2016-11-13,14955
"14",2016-11-14,6606
