"","date","pageviews","BounceRate","AvgSessionDuration"
"1",2016-10-01,493,1.35746606334842,493.502262443439
"2",2016-10-02,356,2.24719101123596,240.067415730337
"3",2016-10-03,1191,1.02880658436214,178.382716049383
"4",2016-10-04,1091,2.2181146025878,230.604436229205
"5",2016-10-05,981,4.67980295566502,232.78078817734
"6",2016-10-06,918,2.99539170506912,117.854838709677
"7",2016-10-07,749,3.26633165829146,167.13567839196
"8",2016-10-08,363,17.6923076923077,375.576923076923
"9",2016-10-09,478,6.83229813664596,398.049689440994
"10",2016-10-10,878,6.17283950617284,162.63950617284
"11",2016-10-11,778,3.26975476839237,215.629427792916
"12",2016-10-12,967,3.76884422110553,319.628140703518
"13",2016-10-13,867,2.71604938271605,184.437037037037
"14",2016-10-14,792,1.44578313253012,175.61686746988
"15",2016-10-15,282,7.59493670886076,110.848101265823
"16",2016-10-16,334,3.33333333333333,315.153333333333
"17",2016-10-17,1053,1.46443514644351,187.573221757322
"18",2016-10-18,1030,1.40845070422535,136.939637826962
"19",2016-10-19,1062,2.36220472440945,175.143700787402
"20",2016-10-20,1001,3.27510917030568,191.993449781659
"21",2016-10-21,926,2.3094688221709,257.810623556582
"22",2016-10-22,304,2.29007633587786,608.885496183206
"23",2016-10-23,268,4.86111111111111,208.333333333333
"24",2016-10-24,1207,0.352733686067019,192.059964726631
"25",2016-10-25,1143,0.425531914893617,229.9
"26",2016-10-26,986,0.628930817610063,145.215932914046
"27",2016-10-27,1137,2.23123732251521,229.949290060852
"28",2016-10-28,1128,3.51239669421488,264.884297520661
"29",2016-10-29,230,3.93700787401575,548.03937007874
"30",2016-10-30,296,1.94805194805195,269.071428571429
"31",2016-10-31,918,1.96560196560197,209.164619164619
